Territorio;Año;Mes;Año_mes;Precio medio;Nombre del Producto;Indicador
Canarias;2020;noviembre;2020-11;0.49;Cebollas;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.06;Cebolletas;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.99;Coles;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.23;Coles;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.80;Coles;Precio medio en origen
Canarias;2020;noviembre;2020-11;3.14;Coliflores;Precio medio en destino
Canarias;2020;noviembre;2020-11;2.03;Coliflores;Precio medio en merca
Canarias;2020;noviembre;2020-11;1.20;Coliflores;Precio medio en origen
Canarias;2020;noviembre;2020-11;9.86;Fresas;Precio medio en destino
Canarias;2020;noviembre;2020-11;10.48;Fresas;Precio medio en merca
Canarias;2020;noviembre;2020-11;4.58;Fresas;Precio medio en origen
Canarias;2020;noviembre;2020-11;5.03;Judías verdes;Precio medio en destino
Canarias;2020;noviembre;2020-11;2.44;Judías verdes;Precio medio en merca
Canarias;2020;noviembre;2020-11;1.91;Judías verdes;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.85;Lechugas;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.00;Lechugas;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.59;Lechugas;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.80;Limones;Precio medio en destino
Canarias;2020;noviembre;2020-11;0.98;Limones;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.53;Limones;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.20;Mandarinas;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.23;Mandarinas;Precio medio en merca
Canarias;2020;noviembre;2020-11;4.33;Mangos;Precio medio en destino
Canarias;2020;noviembre;2020-11;2.51;Mangos;Precio medio en merca
Canarias;2020;noviembre;2020-11;2.15;Mangos;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.51;Melones;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.58;Melones;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.40;Melones;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.54;Naranjas;Precio medio en destino
Canarias;2020;noviembre;2020-11;0.99;Naranjas;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.62;Naranjas;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.82;Papas;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.46;Papas;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.67;Papas;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.26;Papayas;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.46;Papayas;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.82;Papayas;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.60;Pepinos;Precio medio en destino
Canarias;2020;noviembre;2020-11;0.58;Pepinos;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.07;Pepinos;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.05;Pimientos (Capsicum);Precio medio en destino
Canarias;2020;noviembre;2020-11;1.17;Pimientos (Capsicum);Precio medio en merca
Canarias;2020;noviembre;2020-11;0.83;Pimientos (Capsicum);Precio medio en origen
Canarias;2020;noviembre;2020-11;3.90;Pinas de millo;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.94;Pinas de millo;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.59;Pinas de millo;Precio medio en origen
Canarias;2020;noviembre;2020-11;3.96;Piñas tropicales;Precio medio en destino
Canarias;2020;noviembre;2020-11;3.55;Piñas tropicales;Precio medio en merca
Canarias;2020;noviembre;2020-11;2.01;Piñas tropicales;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.63;Plátanos;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.20;Plátanos;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.67;Plátanos;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.41;Puerros;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.31;Puerros;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.91;Puerros;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.63;Sandías;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.03;Sandías;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.49;Sandías;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.78;Tomates;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.15;Tomates;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.38;Tomates;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.19;Zanahorias;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.39;Zanahorias;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.74;Zanahorias;Precio medio en origen
Canarias;2020;diciembre;2020-12;4.72;Aguacates;Precio medio en destino
Canarias;2020;diciembre;2020-12;3.66;Aguacates;Precio medio en merca
Canarias;2020;diciembre;2020-12;2.31;Aguacates;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.29;Batatas y boniatos;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.21;Batatas y boniatos;Precio medio en merca
Canarias;2020;diciembre;2020-12;1.00;Batatas y boniatos;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.75;Berenjenas;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.90;Berenjenas;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.60;Berenjenas;Precio medio en origen
Canarias;2020;diciembre;2020-12;3.52;Berros;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.55;Berros;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.73;Berros;Precio medio en origen
Canarias;2020;diciembre;2020-12;4.32;Brócoli;Precio medio en destino
Canarias;2020;diciembre;2020-12;2.97;Brócoli;Precio medio en merca
Canarias;2020;diciembre;2020-12;1.81;Brócoli;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.16;Bubangos;Precio medio en destino
Canarias;2020;diciembre;2020-12;2.05;Bubangos;Precio medio en merca
Canarias;2020;diciembre;2020-12;1.11;Bubangos;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.19;Calabacines;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.26;Calabacines;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.87;Calabacines;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.42;Calabazas;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.44;Calabazas;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.38;Calabazas;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.51;Cebollas;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.34;Cebollas;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.84;Cebollas;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.81;Cebolletas;Precio medio en origen
